Year,State,Grade,Skill,Percentage
2024,Andhra Pradesh,Grade 8,Math,45.2
2024,Arunachal Pradesh,Grade 8,Math,42.8
2024,Assam,Grade 8,Math,24.2
2024,Bihar,Grade 8,Math,62
2024,Chhattisgarh,Grade 8,Math,33.5
2024,Gujarat,Grade 8,Math,28.3
2024,Haryana,Grade 8,Math,43.1
2024,Himachal Pradesh,Grade 8,Math,45.9
2024,Jammu & Kashmir,Grade 8,Math,28
2024,Jharkhand,Grade 8,Math,47.2
2024,Karnataka,Grade 8,Math,35.7
2024,Kerala,Grade 8,Math,31
2024,Madhya Pradesh,Grade 8,Math,34.9
2024,Maharashtra,Grade 8,Math,34.5
2024,Meghalaya,Grade 8,Math,12.1
2024,Mizoram,Grade 8,Math,59.2
2024,Nagaland,Grade 8,Math,29.3
2024,Odisha,Grade 8,Math,47.1
2024,Punjab,Grade 8,Math,62.5
2024,Rajasthan,Grade 8,Math,25.5
2024,Sikkim,Grade 8,Math,27.8
2024,Tamil Nadu,Grade 8,Math,37.8
2024,Telangana,Grade 8,Math,38.5
2024,Tripura,Grade 8,Math,37.5
2024,Uttar Pradesh,Grade 8,Math,45.6
2024,Uttarakhand,Grade 8,Math,45.2
2024,West Bengal,Grade 8,Math,33.5
2024,ALL INDIA (Govt),Grade 8,Math,45.8
2018,All India,Grade 1,Very Low Math,35.7
2018,All India,Grade 1,Basic Math,37.1
2018,All India,Grade 1,Intermediate Math,21.3
2018,All India,Grade 1,Subtraction,3.9
2018,All India,Grade 1,Division,2
2018,All India,Grade 2,Very Low Math,14.9
2018,All India,Grade 2,Basic Math,36.1
2018,All India,Grade 2,Intermediate Math,34.6
2018,All India,Grade 2,Subtraction,10.6
2018,All India,Grade 2,Division,3.8
2018,All India,Grade 3,Very Low Math,7.6
2018,All India,Grade 3,Basic Math,26.9
2018,All India,Grade 3,Intermediate Math,37.5
2018,All India,Grade 3,Subtraction,19.6
2018,All India,Grade 3,Division,8.5
2018,All India,Grade 4,Very Low Math,4.4
2018,All India,Grade 4,Basic Math,19.2
2018,All India,Grade 4,Intermediate Math,34.2
2018,All India,Grade 4,Subtraction,24.6
2018,All India,Grade 4,Division,17.6
2018,All India,Grade 5,Very Low Math,3.3
2018,All India,Grade 5,Basic Math,13.8
2018,All India,Grade 5,Intermediate Math,30.5
2018,All India,Grade 5,Subtraction,24.5
2018,All India,Grade 5,Division,27.8
2018,All India,Grade 6,Very Low Math,2.2
2018,All India,Grade 6,Basic Math,9.7
2018,All India,Grade 6,Intermediate Math,29.4
2018,All India,Grade 6,Subtraction,24
2018,All India,Grade 6,Division,34.7
2018,All India,Grade 7,Very Low Math,1.6
2018,All India,Grade 7,Basic Math,7.5
2018,All India,Grade 7,Intermediate Math,28
2018,All India,Grade 7,Subtraction,24
2018,All India,Grade 7,Division,39
2018,All India,Grade 8,Very Low Math,1.1
2018,All India,Grade 8,Basic Math,5.6
2018,All India,Grade 8,Intermediate Math,27.3
2018,All India,Grade 8,Subtraction,22.1
2018,All India,Grade 8,Division,43.9
2022,All India,Grade 1,Very Low Math,37.6
2022,All India,Grade 1,Basic Math,36.8
2022,All India,Grade 1,Intermediate Math,19.8
2022,All India,Grade 1,Subtraction,4.1
2022,All India,Grade 1,Division,1.7
2022,All India,Grade 2,Very Low Math,16.9
2022,All India,Grade 2,Basic Math,36.1
2022,All India,Grade 2,Intermediate Math,33.1
2022,All India,Grade 2,Subtraction,10.1
2022,All India,Grade 2,Division,3.9
2022,All India,Grade 3,Very Low Math,9.8
2022,All India,Grade 3,Basic Math,27.6
